"Year","Cluster"
1900,"3"
1901,"1"
1902,"1"
1903,"2"
1904,"1"
1905,"1"
1906,"1"
1907,"1"
1908,"1"
1909,"1"
1910,"1"
1911,"1"
1912,"2"
1913,"1"
1914,"1"
1915,"1"
1916,"2"
1917,"1"
1918,"1"
1919,"1"
1920,"1"
1921,"2"
1922,"2"
1923,"2"
1924,"2"
1925,"2"
1926,"3"
1927,"3"
1928,"2"
1929,"2"
1930,"2"
1931,"2"
1932,"2"
1933,"2"
1934,"2"
1935,"2"
1936,"3"
1937,"2"
1938,"3"
1939,"2"
1940,"2"
1941,"2"
1942,"1"
1943,"2"
1944,"3"
1945,"4"
1946,"2"
1947,"2"
1948,"3"
1949,"3"
1950,"3"
1951,"3"
1952,"2"
1953,"3"
1954,"2"
1955,"3"
1956,"3"
1957,"3"
1958,"3"
1959,"3"
1960,"3"
1961,"3"
1962,"3"
1963,"3"
1964,"3"
1965,"3"
1966,"3"
1967,"3"
1968,"3"
1969,"3"
1970,"3"
1971,"3"
1972,"4"
1973,"4"
1974,"4"
1975,"4"
1976,"4"
1977,"4"
1978,"4"
1979,"4"
1980,"4"
1981,"4"
1982,"4"
1983,"4"
1984,"4"
1985,"4"
1986,"4"
1987,"5"
1988,"5"
1989,"5"
1990,"5"
1991,"5"
1992,"5"
1993,"5"
1994,"5"
1995,"5"
1996,"5"
1997,"5"
1998,"5"
1999,"5"
2000,"5"
