哀	year	sum(match_count)	sum(volume_count)
哀	2000	2661	2082
哀	1999	2756	2068
哀	1998	2724	2114
哀	1997	2593	1749
哀	1996	2262	1720
哀	1995	2130	1686
哀	1994	2340	1744
哀	1993	2605	1974
哀	1992	2309	1678
哀	1991	1923	1474
哀	1990	2130	1577
哀	1989	2598	1905
哀	1988	2474	1948
哀	1987	2343	1762
哀	1986	3180	2271
哀	1985	2623	1963
哀	1984	2433	1869
哀	1983	2072	1610
哀	1982	2034	1472
哀	1981	1855	1408
哀	1980	1400	1070
哀	1979	736	604
哀	1978	304	261
哀	1977	160	139
哀	1976	98	68
哀	1975	68	59
哀	1974	68	65
哀	1973	100	80
哀	1972	58	51
哀	1971	32	30
哀	1970	58	41
哀	1969	36	16
哀	1968	16	14
哀	1967	16	13
哀	1966	20	19
哀	1965	36	33
哀	1964	162	86
哀	1963	108	92
哀	1962	238	198
哀	1961	66	60
哀	1960	36	33
哀	1959	227	198
哀	1958	169	147
哀	1957	154	146
哀	1956	84	70
哀	1955	38	19
哀	1954	4	4
哀	1953	6	6
哀	1952	2	2
哀	1951	6	6
哀	1950	14	12
哀	1949	6	6
哀	1948	6	6
哀	1946	6	6
哀	1945	2	2
哀	1944	2	2
哀	1941	4	4
哀	1940	4	4
哀	1939	6	6
哀	1938	14	11
哀	1937	8	8
哀	1936	36	31
哀	1935	4	4
哀	1934	11	4
哀	1933	4	4
哀	1932	12	12
哀	1931	2	2
哀	1930	8	8
哀	1929	2	2
哀	1927	2	2
哀	1926	6	6
哀	1925	4	4
哀	1924	6	6
哀	1923	2	2
哀	1922	4	4
哀	1921	2	2
哀	1920	2	2
哀	1919	2	2
哀	1916	2	2
哀	1910	2	2
哀	1900	4	4
哀愁	year	sum(match_count)	sum(volume_count)
哀愁	2000	254	222
哀愁	1999	382	308
哀愁	1998	333	278
哀愁	1997	218	196
哀愁	1996	284	260
哀愁	1995	226	205
哀愁	1994	284	228
哀愁	1993	280	244
哀愁	1992	238	202
哀愁	1991	196	170
哀愁	1990	298	252
哀愁	1989	302	272
哀愁	1988	268	245
哀愁	1987	284	228
哀愁	1986	509	388
哀愁	1985	464	408
哀愁	1984	484	447
哀愁	1983	448	382
哀愁	1982	383	323
哀愁	1981	290	270
哀愁	1980	218	178
哀愁	1979	142	130
哀愁	1978	38	34
哀愁	1977	20	18
哀愁	1976	4	4
哀愁	1975	10	10
哀愁	1974	18	18
哀愁	1973	2	2
哀愁	1972	2	2
哀愁	1971	2	2
哀愁	1970	2	2
哀愁	1969	14	14
哀愁	1965	2	2
哀愁	1964	6	6
哀愁	1963	16	16
哀愁	1962	60	46
哀愁	1961	4	4
哀愁	1959	24	24
哀愁	1958	26	16
哀愁	1957	66	33
哀愁	1956	6	6
哀愁	1929	2	2
哀怜	year	sum(match_count)	sum(volume_count)
哀怜	2000	14	14
哀怜	1999	52	50
哀怜	1998	58	58
哀怜	1997	18	18
哀怜	1996	40	40
哀怜	1995	30	30
哀怜	1994	22	22
