year	sum(match_count)	sum(volume_count)
1900	19850	2900
1901	48	47
1902	78	68
1903	1408	355
1904	174	136
1905	18	18
1906	224	104
1907	54	40
1908	408	130
1909	24	24
1910	32	29
1911	72	59
1912	1118	97
1913	76	42
1914	86	69
1915	90	68
1916	308	166
1917	56	52
1918	28	24
1919	32	29
1920	364	144
1921	902	366
1922	394	248
1923	1872	583
1924	2347	935
1925	596	310
1926	1503	526
1927	2187	701
1928	1095	501
1929	1705	936
1930	4279	1599
1931	1449	808
1932	6275	1409
1933	5312	1517
1934	4464	1474
1935	3286	1763
1936	12582	3293
1937	4877	1627
1938	7748	1624
1939	3704	1143
1940	725	373
1941	1022	575
1942	368	155
1943	214	147
1944	1055	260
1945	8777	842
1946	1738	799
1947	3104	1199
1948	6416	1679
1949	57091	4306
1950	8841	2292
1951	24906	3362
1952	17322	3082
1953	28500	4567
1954	21971	4135
1955	206633	27006
1956	431210	88167
1957	542997	116228
1958	512869	108805
1959	467682	105930
1960	214982	42201
1961	209153	45063
1962	444582	90864
1963	430037	76556
1964	421099	73641
1965	384836	64041
1966	224461	34499
1967	69255	10454
1968	32339	7313
1969	66655	10402
1970	120751	16445
1971	217505	25007
1972	558004	57859
1973	623252	78693
1974	803792	91780
1975	1005279	113496
1976	856346	97464
1977	1275011	147037
1978	2162438	260689
1979	5098625	557678
1980	6239488	671417
1981	8429947	847969
1982	9387916	934904
1983	10383738	1032104
1984	11885123	1245015
1985	12833209	1315660
1986	12143193	1251900
1987	12716837	1283895
1988	13204495	1360865
1989	12461380	1279273
1990	11085942	1088122
1991	11890887	1100732
1992	12722917	1180037
1993	14666694	1370520
1994	12558336	1184638
1995	12333142	1219240
1996	12381010	1186887
1997	12688709	1191277
1998	14785589	1401409
1999	14913923	1423144
2000	15168424	1480345
