了	year	sum(match_count)	sum(volume_count)
了	2000	21696672	37222
了	1999	21902588	34537
了	1998	20978648	32576
了	1997	18224674	29432
了	1996	17696174	29107
了	1995	17676038	32836
了	1994	17994772	30348
了	1993	20471584	33969
了	1992	18602024	30269
了	1991	17812880	28742
了	1990	16408176	29646
了	1989	18293270	33643
了	1988	18972004	36940
了	1987	17849176	35883
了	1986	17247236	35298
了	1985	17996666	35397
了	1984	16640896	33209
了	1983	14305210	28054
了	1982	12754442	25459
了	1981	11186964	22399
了	1980	8185506	18751
了	1979	6652110	17093
了	1978	2919288	10119
了	1977	1680846	6472
了	1976	1048540	4644
了	1975	1284994	5579
了	1974	950642	4867
了	1973	840762	4105
了	1972	731714	2806
了	1971	277980	1562
了	1970	159876	1397
了	1969	90678	932
了	1968	50920	857
了	1967	101148	1086
了	1966	408946	2167
了	1965	882588	3584
了	1964	971388	4022
了	1963	934588	3767
了	1962	1080248	4301
了	1961	550098	2385
了	1960	675370	2565
了	1959	1441318	6036
了	1958	1487780	6403
了	1957	1371992	7656
了	1956	1026942	6845
了	1955	310746	1810
了	1954	44528	527
了	1953	51506	505
了	1952	37704	452
了	1951	46046	434
了	1950	17800	433
了	1949	115376	378
了	1948	12110	276
了	1947	10022	213
了	1946	5784	153
了	1945	10790	83
了	1944	2682	49
了	1943	496	34
了	1942	744	39
了	1941	2878	127
了	1940	1530	67
了	1939	7830	176
了	1938	11958	142
了	1937	9762	257
了	1936	13240	439
了	1935	5920	268
了	1934	7834	217
了	1933	11930	192
了	1932	12394	186
了	1931	4380	132
了	1930	8080	172
了	1929	5474	161
了	1928	3690	86
了	1927	4182	62
了	1926	3804	81
了	1925	2218	61
了	1924	2662	131
了	1923	3542	59
了	1922	808	25
了	1921	1988	27
了	1920	658	18
了	1919	72	10
了	1918	50	6
了	1917	66	11
了	1916	472	20
了	1915	112	23
了	1914	34	19
了	1913	20	15
了	1912	3622	3
了	1911	88	12
了	1910	12	9
了	1909	50	6
了	1908	566	50
了	1907	46	6
了	1906	52	14
了	1905	32	11
了	1904	192	54
了	1903	2220	32
了	1902	82	25
了	1901	14	11
了	1900	28506	133
