的	year	sum(match_count)	sum(volume_count)
的	2000	136585750	25984
的	1999	130791504	23968
的	1998	127937748	22313
的	1997	111748892	20611
的	1996	107668478	20205
的	1995	108553562	22643
的	1994	116498168	21074
的	1993	130738372	23189
的	1992	120870936	20981
的	1991	115441262	19831
的	1990	105047470	20511
的	1989	114102258	23109
的	1988	124765164	25298
的	1987	117135308	24503
的	1986	105637978	25118
的	1985	107576366	24289
的	1984	97139678	22781
的	1983	85429908	19468
的	1982	75242000	17700
的	1981	65858698	15439
的	1980	44248230	12785
的	1979	33732506	11779
的	1978	13634942	6979
的	1977	7611582	4652
的	1976	5068382	3338
的	1975	6572244	4034
的	1974	4897818	3453
的	1973	3989708	2916
的	1972	3492226	1988
的	1971	1622754	1275
的	1970	951650	1143
的	1969	613356	769
的	1968	339164	771
的	1967	684590	866
的	1966	2085034	1651
的	1965	4135440	2525
的	1964	5183760	2872
的	1963	5436130	2692
的	1962	5945398	3101
的	1961	3071730	1704
的	1960	3396378	1819
的	1959	7670726	4323
的	1958	8170328	4448
的	1957	8957304	5408
的	1956	6285154	4807
的	1955	2967682	1285
的	1954	344706	420
的	1953	401414	411
的	1952	301590	378
的	1951	274044	341
的	1950	165982	362
的	1949	718220	275
的	1948	92496	229
的	1947	60092	202
的	1946	29946	123
的	1945	59390	73
的	1944	11168	41
的	1943	8288	29
的	1942	3970	45
的	1941	28602	110
的	1940	17456	77
的	1939	78116	159
的	1938	68954	117
的	1937	88646	221
的	1936	130180	350
的	1935	56704	255
的	1934	65448	231
的	1933	84728	177
的	1932	95296	157
的	1931	45478	140
的	1930	72106	167
的	1929	43822	173
的	1928	24652	81
的	1927	31658	52
的	1926	26828	53
的	1925	17652	57
的	1924	27022	161
的	1923	34498	54
的	1922	3838	35
的	1921	12790	31
的	1920	5376	17
的	1919	290	8
的	1918	210	10
的	1917	298	14
的	1916	1062	15
的	1915	682	37
的	1914	70	18
的	1913	336	16
的	1912	14046	5
的	1911	212	21
的	1910	16	8
的	1909	326	16
的	1908	2376	27
的	1907	246	18
的	1906	3546	16
的	1905	10	8
的	1904	1016	48
的	1903	9364	27
的	1902	102	22
的	1901	48	16
的	1900	193750	106
