爱	year	sum(match_count)	sum(volume_count)
爱	2000	117994	16098
爱	1999	115010	15384
爱	1998	117588	14911
爱	1997	100716	12955
爱	1996	101494	12891
爱	1995	95460	13391
爱	1994	94806	12913
爱	1993	108308	14579
爱	1992	92682	12885
爱	1991	85096	11878
爱	1990	82582	11928
爱	1989	90066	13598
爱	1988	101952	15164
爱	1987	93480	14090
爱	1986	98648	14001
爱	1985	99726	14513
爱	1984	95006	14017
爱	1983	83504	11340
爱	1982	78394	10282
爱	1981	69448	9099
爱	1980	47564	7317
爱	1979	30776	6401
爱	1978	10490	3244
爱	1977	6280	1985
爱	1976	3118	1149
爱	1975	3216	1275
爱	1974	2458	1103
爱	1973	2506	991
爱	1972	2204	661
爱	1971	1092	343
爱	1970	692	239
爱	1969	324	177
爱	1968	212	123
爱	1967	416	190
爱	1966	1092	401
爱	1965	2176	784
爱	1964	3226	975
爱	1963	2652	942
爱	1962	4524	1221
爱	1961	1680	645
爱	1960	1726	620
爱	1959	4434	1535
爱	1958	5068	1718
爱	1957	5498	1859
爱	1956	4266	1455
爱	1955	1112	398
爱	1954	172	70
爱	1953	208	71
爱	1952	16	15
爱	1951	162	47
爱	1950	78	38
爱	1949	876	79
爱	1948	36	29
爱	1947	24	20
爱	1946	26	13
爱	1945	128	8
爱	1944	50	9
爱	1943	2	2
爱	1942	6	5
爱	1941	12	8
爱	1940	12	8
爱	1939	42	22
爱	1938	100	32
爱	1937	56	37
爱	1936	188	110
爱	1935	40	34
爱	1934	106	31
爱	1933	42	24
爱	1932	78	35
爱	1931	24	14
爱	1930	92	29
爱	1929	30	21
爱	1928	4	4
爱	1927	56	21
爱	1926	40	21
爱	1925	16	9
爱	1924	46	37
爱	1923	28	16
爱	1922	40	13
爱	1921	16	6
爱	1919	4	4
爱	1917	2	2
爱	1916	4	2
爱	1915	2	2
爱	1913	2	2
爱	1912	8	3
爱	1911	2	2
爱	1910	2	2
爱	1908	2	2
爱	1907	4	4
爱	1906	4	4
爱	1904	8	8
爱	1903	2	2
爱	1901	4	4
爱	1900	180	36
爱不释手	year	sum(match_count)	sum(volume_count)
爱不释手	2000	107	103
爱不释手	1999	110	106
爱不释手	1998	119	107
爱不释手	1997	76	76
爱不释手	1996	96	94
爱不释手	1995	65	65
爱不释手	1994	82	80
爱不释手	1993	135	131
爱不释手	1992	84	78
爱不释手	1991	76	70
爱不释手	1990	67	67
爱不释手	1989	44	44
爱不释手	1988	61	61
爱不释手	1987	45	45
爱不释手	1986	49	49
爱不释手	1985	82	81
爱不释手	1984	71	71
爱不释手	1983	44	44
爱不释手	1982	82	74
爱不释手	1981	29	29
爱不释手	1980	26	26
爱不释手	1979	18	18
爱不释手	1978	8	8
爱不释手	1976	2	2
