爱	year	sum(match_count)	sum(volume_count)
爱	2008	82952	10449
爱	2007	86570	11487
爱	2006	115152	17581
爱	2005	131894	20011
爱	2004	112468	16853
爱	2003	111016	15398
爱	2002	125622	16970
爱	2001	118772	15569
爱不释手	year	sum(match_count)	sum(volume_count)
爱不释手	2008	99	95
爱不释手	2007	85	81
爱不释手	2006	117	115
爱不释手	2005	134	130
爱不释手	2004	84	80
爱不释手	2003	94	90
爱不释手	2002	96	92
爱不释手	2001	124	115
爱戴	year	sum(match_count)	sum(volume_count)
爱戴	2008	1379	1086
爱戴	2007	1602	1191
爱戴	2006	2217	1749
爱戴	2005	2798	2107
爱戴	2004	2258	1757
爱戴	2003	2282	1700
爱戴	2002	2120	1641
爱戴	2001	2263	1643
爱抚	year	sum(match_count)	sum(volume_count)
爱抚	2008	32	26
爱抚	2007	10	10
爱抚	2006	34	34
爱抚	2005	50	31
爱抚	2004	61	41
爱抚	2003	38	38
爱抚	2002	176	69
爱抚	2001	32	32
爱好	year	sum(match_count)	sum(volume_count)
爱好	2008	28356	7135
爱好	2007	28892	7658
爱好	2006	38582	11928
爱好	2005	46436	13889
爱好	2004	39168	11362
爱好	2003	36286	10015
爱好	2002	37232	10652
爱好	2001	35408	9641
爱护	year	sum(match_count)	sum(volume_count)
爱护	2008	5648	2997
爱护	2007	6564	3506
爱护	2006	9448	5312
爱护	2005	10642	6029
爱护	2004	8588	4781
爱护	2003	8392	4415
爱护	2002	9146	5005
爱护	2001	10262	5236
爱怜	year	sum(match_count)	sum(volume_count)
爱怜	2008	136	122
爱怜	2007	144	139
爱怜	2006	180	161
爱怜	2005	242	227
爱怜	2004	185	171
爱怜	2003	165	155
爱怜	2002	204	182
爱怜	2001	183	170
爱恋	year	sum(match_count)	sum(volume_count)
爱恋	2008	446	387
爱恋	2007	527	454
爱恋	2006	604	520
爱恋	2005	788	690
爱恋	2004	576	483
爱恋	2003	608	514
爱恋	2002	608	519
爱恋	2001	555	434
爱慕	year	sum(match_count)	sum(volume_count)
爱慕	2008	437	382
爱慕	2007	527	429
爱慕	2006	624	550
爱慕	2005	748	675
爱慕	2004	697	624
爱慕	2003	610	521
爱慕	2002	680	583
爱慕	2001	666	580
爱屋及乌	year	sum(match_count)	sum(volume_count)
爱屋及乌	2008	15	15
爱屋及乌	2007	12	12
爱屋及乌	2006	8	8
爱屋及乌	2005	19	19
爱屋及乌	2004	7	7
爱屋及乌	2003	22	22
爱屋及乌	2002	6	6
爱屋及乌	2001	14	14
爱惜	year	sum(match_count)	sum(volume_count)
爱惜	2008	398	346
爱惜	2007	454	401
爱惜	2006	652	584
爱惜	2005	778	666
爱惜	2004	636	558
爱惜	2003	660	560
爱惜	2002	618	505
爱惜	2001	676	597
安	year	sum(match_count)	sum(volume_count)
安	2008	113870	12771
安	2007	134014	14306
安	2006	164018	22402
安	2005	186708	25653
安	2004	139158	21160
安	2003	134506	19567
安	2002	136368	20575
安	2001	137740	18680
昂扬	year	sum(match_count)	sum(volume_count)
昂扬	2008	1690	1206
昂扬	2007	1690	1269
昂扬	2006	1806	1410
昂扬	2005	2366	1724
昂扬	2004	1958	1490
昂扬	2003	2186	1440
昂扬	2002	1838	1391
昂扬	2001	1472	1233
巴	year	sum(match_count)	sum(volume_count)
巴	2008	77186	6736
巴	2007	84298	7452
巴	2006	106570	11932
巴	2005	106624	13780
巴	2004	94344	11146
巴	2003	105124	10416
巴	2002	105374	11168
巴	2001	97096	9990
巴不得	year	sum(match_count)	sum(volume_count)
巴不得	2008	929	691
巴不得	2007	1076	794
巴不得	2006	1392	1084
巴不得	2005	1763	1326
巴不得	2004	1195	924
巴不得	2003	1143	878
巴不得	2002	1599	1155
巴不得	2001	1751	1263
巴望	year	sum(match_count)	sum(volume_count)
巴望	2008	36	36
巴望	2007	44	44
巴望	2006	71	71
巴望	2005	98	88
巴望	2004	110	93
巴望	2003	52	51
巴望	2002	92	92
巴望	2001	60	60
摆好	year	sum(match_count)	sum(volume_count)
摆好	2008	100	98
摆好	2007	99	97
摆好	2006	145	138
摆好	2005	192	182
摆好	2004	110	108
摆好	2003	130	126
摆好	2002	130	126
摆好	2001	132	120
拜	year	sum(match_count)	sum(volume_count)
拜	2008	5610	2909
拜	2007	6472	3220
拜	2006	8214	4399
拜	2005	8786	4626
拜	2004	7516	4105
拜	2003	7870	3844
拜	2002	8370	4265
拜	2001	6706	3542
拜拜	year	sum(match_count)	sum(volume_count)
拜拜	2008	114	99
拜拜	2007	115	108
拜拜	2006	191	154
拜拜	2005	216	191
拜拜	2004	189	174
拜拜	2003	144	123
拜拜	2002	240	208
拜拜	2001	214	177
拜谒	year	sum(match_count)	sum(volume_count)
拜谒	2008	22	16
拜谒	2007	22	18
