year	sum(match_count)	sum(volume_count)
1900	50478	5275
1901	306	162
1902	300	160
1903	3353	743
1904	848	472
1905	190	113
1906	560	231
1907	172	116
1908	758	391
1909	238	146
1910	208	103
1911	250	138
1912	4281	367
1913	302	176
1914	380	199
1915	874	362
1916	792	324
1917	222	130
1918	244	110
1919	140	75
1920	978	273
1921	4514	952
1922	1433	514
1923	5882	1337
1924	7129	2294
1925	3182	854
1926	3190	1034
1927	8076	1447
1928	4204	1343
1929	7007	2569
1930	12786	3447
1931	7060	2285
1932	13370	3269
1933	14881	3756
1934	10990	3624
1935	13582	4602
1936	41688	7777
1937	16505	4151
1938	15192	2870
1939	12170	3008
1940	3050	1015
1941	4352	1602
1942	1094	457
1943	1272	471
1944	4104	681
1945	16726	1763
1946	5636	1899
1947	9008	3199
1948	23899	4391
1949	205838	10176
1950	35556	6670
1951	57675	7883
1952	47870	8448
1953	74460	10275
1954	63382	9964
1955	640934	53756
1956	1058170	175584
1957	1529682	224094
1958	1441099	203091
1959	1310546	185871
1960	608071	78656
1961	550468	79719
1962	1105030	152022
1963	1001791	131508
1964	1037070	129153
1965	895594	114068
1966	513048	65347
1967	152294	23736
1968	92844	17383
1969	134990	21294
1970	228120	33671
1971	393866	48020
1972	813244	98001
1973	953041	136588
1974	1081712	156839
1975	1402584	194727
1976	1137004	163050
1977	1883331	248268
1978	3133546	424439
1979	7808415	845906
1980	10082850	991782
1981	14826865	1268514
1982	17001576	1421211
1983	19427661	1590665
1984	22368012	1916434
1985	24831968	2058932
1986	24346330	1976466
1987	26821333	2100856
1988	28327617	2239732
1989	26440506	2079646
1990	24695057	1809367
1991	27549675	1862347
1992	29512747	1967951
1993	32724056	2227789
1994	28910553	1986819
1995	27422072	2014563
1996	27332653	1925368
1997	28173983	1936237
1998	32675514	2235699
1999	32965114	2318483
2000	35055852	2445915
