year	count(*)	sum(match_count)	sum(volume_count)
1900	55370	6478190	237629
1901	3826	288990	9962
1902	5103	378140	12380
1903	17960	890150	34386
1904	11486	504574	27366
1905	4618	145590	8536
1906	8881	378848	14415
1907	8437	286458	12967
1908	8105	409373	20958
1909	3544	111092	6622
1910	6811	262747	10595
1911	13845	489280	18144
1912	22346	750004	26174
1913	11805	210970	17963
1914	6610	243145	11755
1915	13555	470378	25879
1916	7742	190864	12912
1917	8997	260406	12962
1918	4064	110289	6242
1919	4073	164185	6301
1920	16685	647064	21698
1921	19016	795636	42377
1922	9409	307358	21435
1923	21612	993639	54471
1924	24318	1723768	109912
1925	21344	1077567	47003
1926	14169	543295	39707
1927	23326	1149743	60367
1928	31612	1148585	75468
1929	37468	2081694	138289
1930	46405	2943518	164627
1931	30672	1563430	108699
1932	57610	3305058	189983
1933	40658	2696648	165632
1934	44203	2627368	176410
1935	67260	4163201	264872
1936	72870	7595957	350153
1937	40969	3093212	181815
1938	38001	2372627	122187
1939	37899	2301011	139797
1940	19992	799572	53733
1941	23515	945374	74515
1942	32853	845457	49688
1943	9579	291160	21861
1944	24201	743440	43991
1945	30983	1820188	73189
1946	23970	1050056	82770
1947	39514	1752836	145995
1948	45444	3405888	190550
1949	99830	25989641	523906
1950	115047	6115784	359049
1951	74728	7455272	354425
1952	87347	8113005	490571
1953	89467	10684656	469075
1954	73996	9459650	434664
1955	129612	81056000	2325286
1956	152155	141643519	6645719
1957	177707	210300305	8812889
1958	185520	197199377	8044999
1959	179815	182070105	7427421
1960	149304	84122387	3240368
1961	161630	76868406	3245465
1962	179639	150244688	6093546
1963	218429	139931199	5561277
1964	201635	136482309	5355085
1965	198123	115321969	4721488
1966	189381	63594593	2857621
1967	113843	21444759	1047444
1968	177710	15645524	947464
1969	114967	20914711	959031
1970	147674	34142344	1535832
1971	138972	48950093	2040071
1972	175334	102733082	4148395
1973	222442	118601967	5735664
1974	202419	144070259	6724733
1975	220518	187285465	8366368
1976	231011	150498111	6958643
1977	264827	229114278	10315119
1978	288234	388166983	17264655
1979	344919	940478778	34207572
1980	363840	1236921370	41258445
1981	419886	1814791287	53584366
1982	425804	2049609748	60191195
1983	501698	2366762563	68771793
1984	492181	2710458606	81440250
1985	519946	3054140364	88748318
1986	549739	3057030565	87051696
1987	589763	3417630232	95471218
1988	605278	3645987505	102404081
1989	622235	3448097735	97208669
1990	622162	3228265149	86698603
1991	629847	3566023366	90481588
1992	631864	3795200888	94941434
1993	631531	4147959436	105434375
1994	630017	3754189065	96474470
1995	620132	3517758409	94503661
1996	630116	3465640018	91095366
1997	634699	3575837414	91314343
1998	642377	4052963931	103752472
1999	651911	4182606917	109909503
2000	660828	4418347764	115158740
