year	max(volume_count)
1900	58
1901	17
1902	21
1903	29
1904	31
1905	12
1906	15
1907	14
1908	31
1909	10
1910	12
1911	13
1912	7
1913	12
1914	12
1915	26
1916	12
1917	11
1918	8
1919	9
1920	11
1921	21
1922	27
1923	28
1924	124
1925	36
1926	29
1927	26
1928	41
1929	126
1930	88
1931	71
1932	83
1933	96
1934	133
1935	167
1936	243
1937	142
1938	60
1939	86
1940	56
1941	57
1942	23
1943	14
1944	28
1945	38
1946	66
1947	99
1948	115
1949	130
1950	172
1951	163
1952	178
1953	188
1954	190
1955	560
1956	2098
1957	2305
1958	1827
1959	1747
1960	764
1961	703
1962	1295
1963	1159
1964	1257
1965	1141
1966	804
1967	467
1968	483
1969	427
1970	828
1971	641
1972	916
1973	1333
1974	1665
1975	1810
1976	1506
1977	2163
1978	2912
1979	4672
1980	5043
1981	5959
1982	6824
1983	7612
1984	8740
1985	9321
1986	10199
1987	9621
1988	9894
1989	9036
1990	8013
1991	7765
1992	8277
1993	8934
1994	8306
1995	8944
1996	7854
1997	8278
1998	8491
1999	9256
2000	10504
